"Headline","Date","Source","City","State","Xenophobia","Location.Notes","Location.New","EventCodes","New3.PoliticalStatement","Old3.PoliticalStatement","New8.AsianBusinessDownturn","Old8.AsianBusinessDownturn","New9.AsianEventCancellation","Old9.AsianEventCancellation","New10.Transportation","Old10.Transportation","New12.AdultHarassment","Old12.AdultHarassment","New13.ChildHarassment","Old13.ChildHarassment","New14.OfficialStancesAgainstXenophobia","Old14.OfficialStancesAgainstXenophobia","New15.AsiansResistXenophobia","Old15.AsiansResistXenophobia","New16.Vandalism","Old16.Vandalism","Old.18","latitude","longitude"
"Barnes, S. (2020, April 13). Report: More than 90% of area Chinese restaurants closed temporarily. Times Union, The: Web Edition Articles (Albany, NY). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A544879F5A7570.","4/13/20","The Times Union","Albany","NY","Xenophobia is bad","Albany, NY","Albany, NY","New 8 - Asian Business Downturn",NA,NA,"New 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6525793,-73.7562317
"Yao, J. (2020, April 13). Letter to the Editor: Upper-middle-class Asian Americans need greater solidarity with people of color. Columbia Daily Spectator: Columbia University (New York, NY). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A56F78D01AAA58.","4/13/20","Columbia Daily Spectator: Columbia University ","New York","NY","Xenophobia is bad","New York, NY","New York, NY","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,40.7127753,-74.0059728
"Writer, S. (2020, April 13). Letters to the editor: April 13, 2020. News-Enterprise, The (Elizabethtown, KY). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A57F58921C6DC8.","4/13/20","The News-Enterprise","Elizabethtown","KY","Defending Travel Ban/Xenophobia is bad","Washington DC","Washington, District of Columbia","New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 15 - Asians Resist Xenophobia",NA,NA,NA,NA,38.9071923,-77.0368707
"Saletan, W. (2020, April 13). Trump's New Press Secretary Is an Apologist for Explicit Racism - She defended his attacks on Judge Gonzalo Curiel.. Slate (USA). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A569F73A6497D8.","4/13/20"," Slate ",NA,NA,"Xenophobia is bad","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"by The Post Editorial Board, C. (2020, April 13). FAST TAKES. New York Post (NY), p. 021. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A51C42F14812D8.","4/13/20","New York Post ","New York","NY","Coronavirus is Chinese","Washington DC","Washington, District of Columbia","Old 3 - Political Statement",NA,"Old 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9071923,-77.0368707
"(2020, April 14). San Antonio Express-News, p. 9. Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=image/v2%3A16AC4EEDC1D84A40%40AWNB-17A558642A94F55D%402458954-17A5586B955BBF07%408-17A5586B955BBF07%40.","4/14/20","San Antonio Express","San Antonio","TX","Xenophobia is bad","Texas","Texas","New 3 - Political Statement","New 3 - Political Statement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9685988,-99.9018131
"McCarthy, C. (2020, April 14). Harvard grad students launch map of racist incidents toward Asians amid coronavirus outbreak. ABC - 9 WSOC: Web Edition Articles (Charlotte, NC). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A584B40713A158.","4/14/20","ABC - 9 WSOC: Web Edition Articles ","Charlotte","NC","Xenophobia is bad","Cambridge, MA","Cambridge, MA","New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,"New 12 - Adult Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3736158,-71.1097335
"Joshi, I. (2020, April 14). Fight the pervasive racism COVID-19 has incited. Daily Texan, The: University of Texas at Austin (TX). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5BB3C78844300.","4/14/20","The Daily Texan","Austin","TX","Xenophobia is bad","Midland, TX","Midland, TX","Old 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old 13 - Child Harassment",NA,NA,NA,NA,NA,NA,NA,31.9973456,-102.0779146
"Cassi, S. (2020, April 14). 'Strong possibility' COVID-19 hate crime victims are staying silent, Pa. state police say. Express-Times, The: Web Edition Articles (Easton, PA). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A5957E81DF1870.","4/14/20","The Express-Times","Easton","PA","Xenophobia is bad","Pennsylvania","Pennsylvania","New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,41.2033216,-77.1945247
"Chasmar, J. (2020, April 14). Alexandria Ocasio-Cortez: Many 'too scared' to go to hospital for COVID-19 due to 'xenophobic' Trump. Washington Times, The (DC). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A55A9A2901CD80.","4/14/20","The Washington Times","Washigton DC","DC","Meant as negative against AOC","Washington DC","Washington, District of Columbia","New 14 - Official Stances Against Xenophobia|Old 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New 14 - Official Stances Against Xenophobia","Old 14 - Official Stances Against Xenophobia",NA,NA,NA,NA,NA,38.9071923,-77.0368707
"Tegethoff, E. (2020, April 14). Washingtonians Support Asian-American Businesses During COVID-19. Public News Service (PNS) (USA). Available from NewsBank: Access World News – Historical and Current: https://infoweb-newsbank-com.proxy.lib.umich.edu/apps/news/document-view?p=WORLDNEWS&docref=news/17A56EEC4E0176E8.","4/14/20","Public News Service (PNS) ",NA,NA,"Xenophobia is bad","Seattle, WA","Seattle, WA","New 8 - Asian Business Downturn",NA,NA,"New 8 - Asian Business Downturn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6062095,-122.3320708
